Category,Count,Mean_Age,Mean_Glucose,Mean_BMI,Hypertension_Rate,Heart_Disease_Rate
False Positives (FP),185,67.86,122.1,28.92,0.2378,0.1514
False Negatives (FN),5,50.4,83.1,31.96,0.0,0.0
