Experiment,Model,Threshold,Precision,Recall,F1-Score,TP,FP,FN,TN,FPR
C1: Real Only,XGBoost,0.9,0.20512820512820512,0.04020100502512563,0.06722689075630252,8,31,191,3858,0.007971200822833634
C1: Real Only,LightGBM,0.1,0.1425091352009744,0.5879396984924623,0.22941176470588234,117,704,82,3185,0.18102339933144768
C1: Real Only,LightGBM,0.15,0.15191740412979352,0.5175879396984925,0.2348916761687571,103,575,96,3314,0.1478529184880432
C1: Real Only,LightGBM,0.2,0.16034482758620688,0.46733668341708545,0.23876765083440307,93,487,106,3402,0.12522499357161224
C1: Real Only,LightGBM,0.25,0.16962524654832348,0.4321608040201005,0.24362606232294617,86,421,113,3468,0.10825404988428902
C1: Real Only,LightGBM,0.3,0.17342342342342343,0.3869346733668342,0.23950233281493002,77,367,122,3522,0.09436873232193366
C1: Real Only,LightGBM,0.35,0.17268041237113402,0.33668341708542715,0.2282793867120954,67,321,132,3568,0.0825404988428902
C1: Real Only,LightGBM,0.4,0.16913946587537093,0.2864321608040201,0.2126865671641791,57,280,142,3609,0.07199794291591669
C1: Real Only,LightGBM,0.45,0.17073170731707318,0.24623115577889448,0.20164609053497942,49,238,150,3651,0.061198251478529184
C1: Real Only,LightGBM,0.5,0.16334661354581673,0.20603015075376885,0.18222222222222223,41,210,158,3679,0.053998457186937514
C1: Real Only,LightGBM,0.55,0.16355140186915887,0.17587939698492464,0.1694915254237288,35,179,164,3710,0.04602725636410388
C1: Real Only,LightGBM,0.6,0.16939890710382513,0.15577889447236182,0.16230366492146597,31,152,168,3737,0.0390845975829262
C1: Real Only,LightGBM,0.65,0.17419354838709677,0.135678391959799,0.15254237288135594,27,128,172,3761,0.032913345332990486
C1: Real Only,LightGBM,0.7,0.16260162601626016,0.10050251256281408,0.12422360248447205,20,103,179,3786,0.026484957572640782
C1: Real Only,LightGBM,0.75,0.18556701030927836,0.09045226130653267,0.12162162162162163,18,79,181,3810,0.020313705322705065
C1: Real Only,LightGBM,0.8,0.21621621621621623,0.08040201005025126,0.11721611721611722,16,58,183,3831,0.014913859604011315
C1: Real Only,LightGBM,0.85,0.24074074074074073,0.06532663316582915,0.10276679841897234,13,41,186,3848,0.010542555926973516
C1: Real Only,LightGBM,0.9,0.34375,0.05527638190954774,0.09523809523809523,11,21,188,3868,0.0053998457186937516
C1: Real Only,CatBoost,0.1,0.11197732104890148,0.7939698492462312,0.19627329192546583,158,1253,41,2636,0.3221907945487272
C1: Real Only,CatBoost,0.15,0.12457627118644068,0.7386934673366834,0.2131979695431472,147,1033,52,2856,0.2656209822576498
C1: Real Only,CatBoost,0.2,0.12761714855433698,0.6432160804020101,0.2129783693843594,128,875,71,3014,0.22499357161223965
C1: Real Only,CatBoost,0.25,0.1308411214953271,0.5628140703517588,0.2123222748815166,112,744,87,3145,0.1913088197480072
