Experiment,Model,Threshold,Precision,Recall,F1-Score,TP,FP,FN,TN,FPR
C3-B: Real + Synth 2:1,XGBoost,0.4,0.125,0.17006802721088435,0.1440922190201729,50,350,244,5488,0.05995203836930456
C3-B: Real + Synth 2:1,XGBoost,0.45,0.12684365781710916,0.14625850340136054,0.1358609794628752,43,296,251,5542,0.050702295306611855
C3-B: Real + Synth 2:1,XGBoost,0.5,0.13310580204778158,0.1326530612244898,0.13287904599659284,39,254,255,5584,0.043508050702295305
C3-B: Real + Synth 2:1,XGBoost,0.55,0.12295081967213115,0.10204081632653061,0.11152416356877323,30,214,264,5624,0.03665638917437478
C3-B: Real + Synth 2:1,XGBoost,0.6,0.12935323383084577,0.08843537414965986,0.10505050505050505,26,175,268,5663,0.02997601918465228
C3-B: Real + Synth 2:1,XGBoost,0.65,0.14457831325301204,0.08163265306122448,0.10434782608695652,24,142,270,5696,0.024323398424117848
C3-B: Real + Synth 2:1,XGBoost,0.7,0.13432835820895522,0.061224489795918366,0.08411214953271028,18,116,276,5722,0.01986981843096951
C3-B: Real + Synth 2:1,XGBoost,0.75,0.12149532710280374,0.04421768707482993,0.06483790523690773,13,94,281,5744,0.016101404590613225
C3-B: Real + Synth 2:1,XGBoost,0.8,0.12658227848101267,0.034013605442176874,0.05361930294906166,10,69,284,5769,0.011819116135662899
C3-B: Real + Synth 2:1,XGBoost,0.85,0.12,0.02040816326530612,0.03488372093023256,6,44,288,5794,0.0075368276807125725
C3-B: Real + Synth 2:1,XGBoost,0.9,0.037037037037037035,0.003401360544217687,0.006230529595015576,1,26,293,5812,0.004453579993148339
C3-B: Real + Synth 2:1,LightGBM,0.1,0.08544152744630072,0.608843537414966,0.14985349518627042,179,1916,115,3922,0.3281945871873929
C3-B: Real + Synth 2:1,LightGBM,0.15,0.0893491124260355,0.5136054421768708,0.15221774193548387,151,1539,143,4299,0.263617677286742
C3-B: Real + Synth 2:1,LightGBM,0.2,0.09812409812409813,0.46258503401360546,0.1619047619047619,136,1250,158,4588,0.21411442274751627
C3-B: Real + Synth 2:1,LightGBM,0.25,0.10162254483347566,0.40476190476190477,0.16245733788395905,119,1052,175,4786,0.1801986981843097
C3-B: Real + Synth 2:1,LightGBM,0.3,0.10642570281124498,0.36054421768707484,0.16434108527131783,106,890,188,4948,0.15244946899623157
C3-B: Real + Synth 2:1,LightGBM,0.35,0.10482921083627797,0.30272108843537415,0.1557305336832896,89,760,205,5078,0.13018156903048989
C3-B: Real + Synth 2:1,LightGBM,0.4,0.10957004160887657,0.2687074829931973,0.15566502463054188,79,642,215,5196,0.10996916752312436
C3-B: Real + Synth 2:1,LightGBM,0.45,0.12191103789126853,0.25170068027210885,0.16426193118756938,74,533,220,5305,0.09129838985954093
C3-B: Real + Synth 2:1,LightGBM,0.5,0.13111545988258316,0.22789115646258504,0.16645962732919253,67,444,227,5394,0.07605344295991778
C3-B: Real + Synth 2:1,LightGBM,0.55,0.11990407673860912,0.17006802721088435,0.14064697609001406,50,367,244,5471,0.06286399451867078
C3-B: Real + Synth 2:1,LightGBM,0.6,0.1317365269461078,0.14965986394557823,0.14012738853503184,44,290,250,5548,0.049674546077423776
C3-B: Real + Synth 2:1,LightGBM,0.65,0.1583011583011583,0.13945578231292516,0.14828209764918626,41,218,253,5620,0.03734155532716684
C3-B: Real + Synth 2:1,LightGBM,0.7,0.15816326530612246,0.1054421768707483,0.12653061224489795,31,165,263,5673,0.02826310380267215
C3-B: Real + Synth 2:1,LightGBM,0.75,0.15873015873015872,0.06802721088435375,0.09523809523809523,20,106,274,5732,0.01815690304898938
C3-B: Real + Synth 2:1,LightGBM,0.8,0.14285714285714285,0.03741496598639456,0.05929919137466307,11,66,283,5772,0.011305241521068859
C3-B: Real + Synth 2:1,LightGBM,0.85,0.16666666666666666,0.02040816326530612,0.03636363636363636,6,30,288,5808,0.0051387461459403904
C3-B: Real + Synth 2:1,LightGBM,0.9,0.08333333333333333,0.003401360544217687,0.006535947712418301,1,11,293,5827,0.0018842069201781431
C3-B: Real + Synth 2:1,CatBoost,0.1,0.07612456747404844,0.7482993197278912,0.13819095477386933,220,2670,74,3168,0.4573484069886948
C3-B: Real + Synth 2:1,CatBoost,0.15,0.0817717206132879,0.6530612244897959,0.1453444360333081,192,2156,102,3682,0.36930455635491605
C3-B: Real + Synth 2:1,CatBoost,0.2,0.08520648196549922,0.5544217687074829,0.14771182600815586,163,1750,131,4088,0.2997601918465228
C3-B: Real + Synth 2:1,CatBoost,0.25,0.09237445753254804,0.5068027210884354,0.15626638699528053,149,1464,145,4374,0.25077081192189105
C3-B: Real + Synth 2:1,CatBoost,0.3,0.09735849056603774,0.4387755102040816,0.15935762816553428,129,1196,165,4642,0.20486467968482358
C3-B: Real + Synth 2:1,CatBoost,0.35,0.10687732342007435,0.391156462585034,0.1678832116788321,115,961,179,4877,0.1646111682082905
C3-B: Real + Synth 2:1,CatBoost,0.4,0.12280701754385964,0.35714285714285715,0.18276762402088773,105,750,189,5088,0.12846865364850976
C3-B: Real + Synth 2:1,CatBoost,0.45,0.1309192200557103,0.3197278911564626,0.1857707509881423,94,624,200,5214,0.10688591983556012
C3-B: Real + Synth 2:1,CatBoost,0.5,0.1426086956521739,0.2789115646258503,0.18872266973532797,82,493,212,5345,0.08444672833162042
C3-B: Real + Synth 2:1,CatBoost,0.55,0.1574468085106383,0.25170068027210885,0.193717277486911,74,396,220,5442,0.06783144912641316
C3-B: Real + Synth 2:1,CatBoost,0.6,0.17191977077363896,0.20408163265306123,0.18662519440124417,60,289,234,5549,0.049503254539225765
C3-B: Real + Synth 2:1,CatBoost,0.65,0.16996047430830039,0.14625850340136054,0.15722120658135283,43,210,251,5628,0.03597122302158273
C3-B: Real + Synth 2:1,CatBoost,0.7,0.1511627906976744,0.08843537414965986,0.11158798283261803,26,146,268,5692,0.025008564576909902
C3-B: Real + Synth 2:1,CatBoost,0.75,0.13592233009708737,0.047619047619047616,0.07052896725440806,14,89,280,5749,0.015244946899623158
C3-B: Real + Synth 2:1,CatBoost,0.8,0.15873015873015872,0.034013605442176874,0.056022408963585436,10,53,284,5785,0.00907845152449469
C3-B: Real + Synth 2:1,CatBoost,0.85,0.16,0.013605442176870748,0.025078369905956112,4,21,290,5817,0.0035971223021582736
C3-B: Real + Synth 2:1,CatBoost,0.9,0.0,0.0,0.0,0,8,294,5830,0.0013703323055841042
C3-C: Real + Synth 4:1,Random Forest,0.1,0.10469722693831353,0.7581967213114754,0.1839880656389856,185,1582,59,3284,0.32511302918207974
C3-C: Real + Synth 4:1,Random Forest,0.15,0.12167606768734891,0.6188524590163934,0.20336700336700336,151,1090,93,3776,0.2240032881216605
C3-C: Real + Synth 4:1,Random Forest,0.2,0.125,0.45081967213114754,0.19572953736654805,110,770,134,4096,0.15824085491163173
C3-C: Real + Synth 4:1,Random Forest,0.25,0.13680781758957655,0.3442622950819672,0.1958041958041958,84,530,160,4336,0.10891903000411016
C3-C: Real + Synth 4:1,Random Forest,0.3,0.15058823529411763,0.26229508196721313,0.19133034379671152,64,361,180,4505,0.07418824496506371
C3-C: Real + Synth 4:1,Random Forest,0.35,0.1794871794871795,0.20081967213114754,0.1895551257253385,49,224,195,4642,0.04603370324702014
C3-C: Real + Synth 4:1,Random Forest,0.4,0.17297297297297298,0.13114754098360656,0.14918414918414918,32,153,212,4713,0.031442663378545004
C3-C: Real + Synth 4:1,Random Forest,0.45,0.18333333333333332,0.09016393442622951,0.12087912087912088,22,98,222,4768,0.02013974517057131
C3-C: Real + Synth 4:1,Random Forest,0.5,0.15,0.04918032786885246,0.07407407407407407,12,68,232,4798,0.013974517057131115
C3-C: Real + Synth 4:1,Random Forest,0.55,0.09433962264150944,0.020491803278688523,0.03367003367003367,5,48,239,4818,0.009864364981504316
C3-C: Real + Synth 4:1,Random Forest,0.6,0.10526315789473684,0.01639344262295082,0.028368794326241134,4,34,240,4832,0.006987258528565557
C3-C: Real + Synth 4:1,Random Forest,0.65,0.09523809523809523,0.00819672131147541,0.01509433962264151,2,19,242,4847,0.003904644471845458
C3-C: Real + Synth 4:1,Random Forest,0.7,0.09090909090909091,0.004098360655737705,0.00784313725490196,1,10,243,4856,0.002055076037813399
C3-C: Real + Synth 4:1,Random Forest,0.75,0.0,0.0,0.0,0,5,244,4861,0.0010275380189066995
C3-C: Real + Synth 4:1,Random Forest,0.8,0.0,0.0,0.0,0,2,244,4864,0.0004110152075626798
C3-C: Real + Synth 4:1,Random Forest,0.85,0.0,0.0,0.0,0,0,244,4866,0.0
C3-C: Real + Synth 4:1,Random Forest,0.9,0.0,0.0,0.0,0,0,244,4866,0.0
C3-C: Real + Synth 4:1,Logistic Regression,0.1,0.054520978236481936,0.9959016393442623,0.10338225909380983,243,4214,1,652,0.8660090423345663
C3-C: Real + Synth 4:1,Logistic Regression,0.15,0.05943536404160475,0.9836065573770492,0.1120971508640822,240,3798,4,1068,0.7805178791615289
C3-C: Real + Synth 4:1,Logistic Regression,0.2,0.06339745326469791,0.9590163934426229,0.11893265565438374,234,3457,10,1409,0.710439786272092
C3-C: Real + Synth 4:1,Logistic Regression,0.25,0.06820913461538461,0.930327868852459,0.1270996640537514,227,3101,17,1765,0.6372790793259351
C3-C: Real + Synth 4:1,Logistic Regression,0.3,0.0753447695930037,0.9180327868852459,0.1392601802921977,224,2749,20,2117,0.5649404027949034
C3-C: Real + Synth 4:1,Logistic Regression,0.35,0.08211473565804274,0.8975409836065574,0.15046375815870836,219,2448,25,2418,0.5030826140567201
C3-C: Real + Synth 4:1,Logistic Regression,0.4,0.088134135855546,0.8401639344262295,0.15953307392996108,205,2121,39,2745,0.4358816276202219
C3-C: Real + Synth 4:1,Logistic Regression,0.45,0.09453471196454949,0.7868852459016393,0.1687912087912088,192,1839,52,3027,0.37792848335388407
C3-C: Real + Synth 4:1,Logistic Regression,0.5,0.10538506079907353,0.7459016393442623,0.18467782851344494,182,1545,62,3321,0.31750924784217016
C3-C: Real + Synth 4:1,Logistic Regression,0.55,0.11352821210061183,0.6844262295081968,0.1947521865889213,167,1304,77,3562,0.26798191533086724
C3-C: Real + Synth 4:1,Logistic Regression,0.6,0.12263374485596708,0.610655737704918,0.20424948594928033,149,1066,95,3800,0.21907110563090834
C3-C: Real + Synth 4:1,Logistic Regression,0.65,0.13224821973550355,0.5327868852459017,0.21189894050529748,130,853,114,4013,0.17529798602548294
C3-C: Real + Synth 4:1,Logistic Regression,0.7,0.13535911602209943,0.4016393442622951,0.2024793388429752,98,626,146,4240,0.12864775996711877
C3-C: Real + Synth 4:1,Logistic Regression,0.75,0.13704496788008566,0.26229508196721313,0.180028129395218,64,403,180,4463,0.08281956432387998
C3-C: Real + Synth 4:1,Logistic Regression,0.8,0.1583011583011583,0.1680327868852459,0.16302186878727634,41,218,203,4648,0.0448006576243321
C3-C: Real + Synth 4:1,Logistic Regression,0.85,0.14150943396226415,0.06147540983606557,0.08571428571428572,15,91,229,4775,0.01870119194410193
C3-C: Real + Synth 4:1,Logistic Regression,0.9,0.045454545454545456,0.004098360655737705,0.007518796992481203,1,21,243,4845,0.004315659679408138
C3-C: Real + Synth 4:1,XGBoost,0.1,0.1171875,0.36885245901639346,0.17786561264822134,90,678,154,4188,0.13933415536374846
C3-C: Real + Synth 4:1,XGBoost,0.15,0.12965964343598055,0.32786885245901637,0.18583042973286876,80,537,164,4329,0.11035758323057954
C3-C: Real + Synth 4:1,XGBoost,0.2,0.13211382113821138,0.26639344262295084,0.1766304347826087,65,427,179,4439,0.08775174681463214
C3-C: Real + Synth 4:1,XGBoost,0.25,0.13930348258706468,0.22950819672131148,0.17337461300309598,56,346,188,4520,0.07110563090834361
C3-C: Real + Synth 4:1,XGBoost,0.3,0.14739884393063585,0.20901639344262296,0.17288135593220338,51,295,193,4571,0.060624743115495275
C3-C: Real + Synth 4:1,XGBoost,0.35,0.136986301369863,0.16393442622950818,0.14925373134328357,40,252,204,4614,0.051787916152897656
C3-C: Real + Synth 4:1,XGBoost,0.4,0.12403100775193798,0.13114754098360656,0.12749003984063745,32,226,212,4640,0.04644471845458282
C3-C: Real + Synth 4:1,XGBoost,0.45,0.1278538812785388,0.11475409836065574,0.12095032397408208,28,191,216,4675,0.039251952322235925
C3-C: Real + Synth 4:1,XGBoost,0.5,0.13541666666666666,0.10655737704918032,0.11926605504587157,26,166,218,4700,0.034114262227702426
C3-C: Real + Synth 4:1,XGBoost,0.55,0.1488095238095238,0.10245901639344263,0.12135922330097088,25,143,219,4723,0.029387587340731606
C3-C: Real + Synth 4:1,XGBoost,0.6,0.1527777777777778,0.09016393442622951,0.1134020618556701,22,122,222,4744,0.02507192766132347
C3-C: Real + Synth 4:1,XGBoost,0.65,0.15079365079365079,0.0778688524590164,0.10270270270270271,19,107,225,4759,0.02198931360460337
C3-C: Real + Synth 4:1,XGBoost,0.7,0.16216216216216217,0.07377049180327869,0.10140845070422536,18,93,226,4773,0.01911220715166461
C3-C: Real + Synth 4:1,XGBoost,0.75,0.16853932584269662,0.06147540983606557,0.09009009009009009,15,74,229,4792,0.015207562679819153
C3-C: Real + Synth 4:1,XGBoost,0.8,0.171875,0.045081967213114756,0.07142857142857142,11,53,233,4813,0.010891903000411015
C3-C: Real + Synth 4:1,XGBoost,0.85,0.17647058823529413,0.036885245901639344,0.061016949152542375,9,42,235,4824,0.008631319358816275
C3-C: Real + Synth 4:1,XGBoost,0.9,0.16666666666666666,0.020491803278688523,0.0364963503649635,5,25,239,4841,0.005137690094533498
C3-C: Real + Synth 4:1,LightGBM,0.1,0.11323529411764706,0.6311475409836066,0.19201995012468828,154,1206,90,3660,0.24784217016029594
C3-C: Real + Synth 4:1,LightGBM,0.15,0.125,0.5737704918032787,0.20527859237536658,140,980,104,3886,0.2013974517057131
C3-C: Real + Synth 4:1,LightGBM,0.2,0.12790697674418605,0.4959016393442623,0.20336134453781513,121,825,123,4041,0.16954377311960542
C3-C: Real + Synth 4:1,LightGBM,0.25,0.1348314606741573,0.4426229508196721,0.20669856459330144,108,693,136,4173,0.14241676942046855
C3-C: Real + Synth 4:1,LightGBM,0.3,0.14390602055800295,0.4016393442622951,0.2118918918918919,98,583,146,4283,0.11981093300452117
C3-C: Real + Synth 4:1,LightGBM,0.35,0.1423670668953688,0.3401639344262295,0.2007255139056832,83,500,161,4366,0.10275380189066996
C3-C: Real + Synth 4:1,LightGBM,0.4,0.14313725490196078,0.29918032786885246,0.19363395225464192,73,437,171,4429,0.08980682285244554
C3-C: Real + Synth 4:1,LightGBM,0.45,0.14678899082568808,0.26229508196721313,0.18823529411764706,64,372,180,4494,0.07644882860665844
C3-C: Real + Synth 4:1,LightGBM,0.5,0.15803814713896458,0.23770491803278687,0.18985270049099837,58,309,186,4557,0.06350184956843404
C3-C: Real + Synth 4:1,LightGBM,0.55,0.16887417218543047,0.20901639344262296,0.18681318681318682,51,251,193,4615,0.05158240854911632
C3-C: Real + Synth 4:1,LightGBM,0.6,0.15510204081632653,0.1557377049180328,0.1554192229038855,38,207,206,4659,0.04254007398273736
C3-C: Real + Synth 4:1,LightGBM,0.65,0.15841584158415842,0.13114754098360656,0.14349775784753363,32,170,212,4696,0.034936292642827785
C3-C: Real + Synth 4:1,LightGBM,0.7,0.15483870967741936,0.09836065573770492,0.12030075187969924,24,131,220,4735,0.02692149609535553
C3-C: Real + Synth 4:1,LightGBM,0.75,0.1623931623931624,0.0778688524590164,0.10526315789473684,19,98,225,4768,0.02013974517057131
C3-C: Real + Synth 4:1,LightGBM,0.8,0.1875,0.06147540983606557,0.09259259259259259,15,65,229,4801,0.013357994245787094
C3-C: Real + Synth 4:1,LightGBM,0.85,0.18,0.036885245901639344,0.061224489795918366,9,41,235,4825,0.008425811755034936
C3-C: Real + Synth 4:1,LightGBM,0.9,0.045454545454545456,0.004098360655737705,0.007518796992481203,1,21,243,4845,0.004315659679408138
C3-C: Real + Synth 4:1,CatBoost,0.1,0.09104330708661418,0.7581967213114754,0.1625659050966608,185,1847,59,3019,0.37957254418413483
C3-C: Real + Synth 4:1,CatBoost,0.15,0.1015105740181269,0.6885245901639344,0.1769352290679305,168,1487,76,3379,0.30558980682285247
C3-C: Real + Synth 4:1,CatBoost,0.2,0.1099781500364166,0.6188524590163934,0.18676561533704392,151,1222,93,3644,0.2511302918207974
C3-C: Real + Synth 4:1,CatBoost,0.25,0.11471103327495621,0.5368852459016393,0.18903318903318903,131,1011,113,3855,0.20776818742293465
C3-C: Real + Synth 4:1,CatBoost,0.3,0.12050739957716702,0.4672131147540984,0.1915966386554622,114,832,130,4034,0.1709823263460748
C3-C: Real + Synth 4:1,CatBoost,0.35,0.11786600496277916,0.38934426229508196,0.18095238095238095,95,711,149,4155,0.1461159062885327
C3-C: Real + Synth 4:1,CatBoost,0.4,0.11755952380952381,0.3237704918032787,0.17248908296943233,79,593,165,4273,0.12186600904233456
C3-C: Real + Synth 4:1,CatBoost,0.45,0.11934900542495479,0.27049180327868855,0.1656210790464241,66,487,178,4379,0.10008220304151254
C3-C: Real + Synth 4:1,CatBoost,0.5,0.13215859030837004,0.2459016393442623,0.17191977077363896,60,394,184,4472,0.08096999588984792
C3-C: Real + Synth 4:1,CatBoost,0.55,0.13513513513513514,0.20491803278688525,0.16286644951140064,50,320,194,4546,0.06576243321002877
C3-C: Real + Synth 4:1,CatBoost,0.6,0.1453287197231834,0.1721311475409836,0.1575984990619137,42,247,202,4619,0.05076037813399096
C3-C: Real + Synth 4:1,CatBoost,0.65,0.17370892018779344,0.15163934426229508,0.16192560175054704,37,176,207,4690,0.03616933826551583
C3-C: Real + Synth 4:1,CatBoost,0.7,0.18421052631578946,0.11475409836065574,0.1414141414141414,28,124,216,4742,0.02548294286888615
C3-C: Real + Synth 4:1,CatBoost,0.75,0.18691588785046728,0.08196721311475409,0.11396011396011396,20,87,224,4779,0.017879161528976572
C3-C: Real + Synth 4:1,CatBoost,0.8,0.19444444444444445,0.05737704918032787,0.08860759493670886,14,58,230,4808,0.011919441019317715
C3-C: Real + Synth 4:1,CatBoost,0.85,0.17647058823529413,0.02459016393442623,0.04316546762589928,6,28,238,4838,0.005754212905877518
C3-C: Real + Synth 4:1,CatBoost,0.9,0.2,0.00819672131147541,0.015748031496062992,2,8,242,4858,0.0016440608302507192
