run,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
1,0.6456211812627292,0.08870967741935484,0.7857142857142857,0.15942028985507245,0.8014944275582573,0.15674486232223456
2,0.6537678207739308,0.09946236559139784,0.8809523809523809,0.178743961352657,0.8149189463019251,0.13241317910405065
3,0.6313645621181263,0.09595959595959595,0.9047619047619048,0.1735159817351598,0.8339159067882472,0.1518066691314688
4,0.675152749490835,0.10541310541310542,0.8809523809523809,0.18829516539440203,0.809903748733536,0.12119986867947392
5,0.6934826883910387,0.10153846153846154,0.7857142857142857,0.17983651226158037,0.8008105369807497,0.106993228805061
6,0.6945010183299389,0.10185185185185185,0.7857142857142857,0.18032786885245902,0.8098277608915907,0.1851347743270588
7,0.6731160896130346,0.1048158640226629,0.8809523809523809,0.18734177215189873,0.8472391084093212,0.16902700580933364
8,0.6894093686354379,0.09034267912772585,0.6904761904761905,0.15977961432506887,0.7419959473150963,0.0869990696325261
9,0.5957230142566191,0.07838479809976247,0.7857142857142857,0.14254859611231102,0.7702887537993921,0.09722047217331198
10,0.6323828920570265,0.08997429305912596,0.8333333333333334,0.16241299303944315,0.7968338399189463,0.12980543431898858
11,0.6537678207739308,0.07909604519774012,0.6666666666666666,0.1414141414141414,0.7435283687943264,0.14835519796136012
12,0.6354378818737271,0.09487179487179487,0.8809523809523809,0.1712962962962963,0.8128672745694022,0.1146238665669736
13,0.6792260692464358,0.09495548961424333,0.7619047619047619,0.16886543535620052,0.7800785207700102,0.11095581633409285
14,0.6619144602851323,0.09944751381215469,0.8571428571428571,0.1782178217821782,0.8104103343465046,0.14868087886748424
15,0.7026476578411406,0.10443037974683544,0.7857142857142857,0.18435754189944134,0.8267477203647416,0.13672205846955043
16,0.6537678207739308,0.09289617486338798,0.8095238095238095,0.16666666666666666,0.8054964539007092,0.1314758949459246
17,0.6629327902240326,0.09749303621169916,0.8333333333333334,0.1745635910224439,0.7987588652482269,0.10637635739215699
18,0.675152749490835,0.093841642228739,0.7619047619047619,0.1671018276762402,0.7951367781155015,0.12397975032704697
19,0.6496945010183299,0.0962566844919786,0.8571428571428571,0.17307692307692307,0.8110309017223911,0.13236286005863243
20,0.6680244399185336,0.10773480662983426,0.9285714285714286,0.19306930693069307,0.8227203647416413,0.1172774510052937
