Feature,Score
id,0.005112094804483824
gender,0.0
age,0.037280043608427293
hypertension,0.002090026490066288
heart_disease,0.005170926220022576
ever_married,0.008167164421093887
work_type,0.006136759237339806
Residence_type,0.0
avg_glucose_level,0.004987967800033299
bmi,0.008604094815986896
smoking_status,0.001202715541206878
